group,code,design,slabs_available,action
A,QZ-CARRARACLOUD-30,"Carrara Cloud",1072,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CARRARAROYALE-30,"Carrara Royale",751,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CALACATTAGOLD-30,"Calacatta Gold",395,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CARRARAVENATINO-30,"Carrara Venatino",338,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CALACATTAGREY-30,"Calacatta Grey",147,"Product exists but is inactive - activate once the owner prices it"
A,QZ-GLENCO-30,"Glenco",86,"Product exists but is inactive - activate once the owner prices it"
A,QZ-BROOKLYN-30,"Brooklyn",60,"Product exists but is inactive - activate once the owner prices it"
A,QZ-IRISHGREY-30,"irish Grey",39,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CARRARABEIGE-30,"Carrara Beige",30,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CARRARACHIFFON-30,"Carrara Chiffon",28,"Product exists but is inactive - activate once the owner prices it"
A,QZ-TAJMAHAL-30,"Taj Mahal",26,"Product exists but is inactive - activate once the owner prices it"
A,QZ-BELLASTATUARIO-30,"Bella Statuario",18,"Product exists but is inactive - activate once the owner prices it"
A,QZ-MIRAGGIO-30,"Miraggio",14,"Product exists but is inactive - activate once the owner prices it"
A,QZ-FOSSILGREY-30,"Fossil Grey",11,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CARIBBEAN-30,"Caribbean",10,"Product exists but is inactive - activate once the owner prices it"
A,QZ-MIDNIGHT-30,"Midnight",9,"Product exists but is inactive - activate once the owner prices it"
A,QZ-LUNARLIGHT-30,"Lunar Light",8,"Product exists but is inactive - activate once the owner prices it"
A,QZ-PULSAR-30,"Pulsar",6,"Product exists but is inactive - activate once the owner prices it"
A,QZ-WALDORF-30,"Waldorf",6,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CHATEAU-30,"Chateau",5,"Product exists but is inactive - activate once the owner prices it"
A,QZ-MISKA-30,"Miska",5,"Product exists but is inactive - activate once the owner prices it"
A,QZ-STATUARIO-30,"Statuario",4,"Product exists but is inactive - activate once the owner prices it"
A,QZ-CRISTALLOAZURE-30,"Cristallo Azure",3,"Product exists but is inactive - activate once the owner prices it"
B,QZ-SEAPEARL-30,"Sea Pearl",485,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-SPARKLEWHITE-30,"Sparkle White",136,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CATERINA-30,"Caterina",127,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-POSEIDON-30,"Poseidon",77,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BIANCOCARRARALONGVEIN-30,"Bianco Carrara Long Vein",52,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-SIMPLYWHITE-30,"Simply white",44,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-ALPHINEWINTER-30,"Alphine Winter",41,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CRECENDO-30,"Crecendo",40,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-ARLINACHROMIA-30,"ARLINA CHROMIA",33,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CARRARALUMUS-30,"Carrara Lumus",27,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-DAKAR-30,"Dakar",24,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BELLAGIOGREEN-30,"Bellagio green",22,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-MIRAGIO-30,"Miragio",21,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-MORITZ-30,"Moritz",21,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CALCATTAGOLD-30,"Calcatta gold",20,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CLASSICGREY-30,"Classic Grey",17,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-NEPTUNE-30,"Neptune",17,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-STONEEVOLUTION-30,"Stone Evolution",17,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-GREYEXPO-30,"Grey Expo",16,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-PUREWHITE-30,"Pure White",16,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-TAJAUREATE-30,"Taj Aureate",15,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-DONATELLOGREY-30,"Donatello Grey",14,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-EXTRAWHITE-30,"Extra White",10,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BELLAGIOGOLD-30,"Bellagio gold",8,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-LUMITAJ-30,"Lumitaj",8,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CARRARAMARMI-30,"Carrara marmi",4,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-ATMOSGOLD-30,"Atmos Gold",3,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CARRARAMISKA-30,"Carrara Miska",3,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-MOLANA-30,"Molana",3,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-MOVITAZASFORD-30,"Movitaz asford",3,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-WHITEARABESQUE-30,"White Arabesque",3,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-WOODLAND-30,"Woodland",3,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-AMAZONITE-30,"Amazonite",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-ANTIQUEGREY-30,"Antique Grey",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BLACKSPARKLE-30,"Black Sparkle",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CANOPY-30,"Canopy",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CHERRYHILLSEAPEARL-30,"Cherry Hill (Sea Pearl)",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-IRISGOLD-30,"Iris gold",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-KREAS-30,"Kreas",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-RODOBODY-30,"Rodo body",2,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-ANTIQUEGREYA-30,"Antique Greya",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-ATLANTIC-30,"Atlantic",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BANIYAN-30,"Baniyan",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BELLAGIOBLUE-30,"Bellagio blue",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BELLAGIOBLUEULTIMATEW-30,"Bellagio blue ultimate w",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BELLAGIOGREENB-30,"Bellagio green - B",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-BLACKNIMBUS-30,"Black Nimbus",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CALCATTAGREY-30,"Calcatta Grey",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CARR-30,"Carr",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CARRARA-30,"Carrara",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
B,QZ-CARRARAROYAL-30,"Carrara royal",1,"No Product2 exists - create it, or tell us this design is not sold at 30 mm"
